Scientific_Name,No_of_plants,Habit,Family,Species_distribution,Conservation_status ,Endemic
Litsea glutinosa (Lour.) C.B.Rob,161,Tree,Lauraceae,N,LC,Non Endemic
Lonchocarpus sericeus (Poir.) DC.,25,Tree,Fabaceae,E,LC,Non Endemic
Lophopetalum wightianum Arn.,1690,Tree,Celastraceae,N,LC,Non Endemic
Loropetalum chinense (R.Br.) Oliv.,222,Shrub,Hamamelidaceae,E,NE,Non Endemic
Macaranga peltata (Roxb.) Müll.Arg.,3536,Tree,Euphorbiaceae,N,NE,Non Endemic
Madhuca bourdillonii (Gamble) H.J.Lam,76,Tree,Sapotaceae,N,EN,Endemic
Madhuca insignis (Radlk.) H.J.Lam.,10,Tree,Sapotaceae,N,CR,Endemic
Madhuca longifolia (J.Koenig ex L.) J.F.Macbr.,566,Tree,Sapotaceae,N,NE,Non Endemic
Madhuca longifolia var. latifolia (Roxb.) A.Chev.,45,Tree,Sapotaceae,N,NE,Non Endemic
Madhuca neriifolia (Moon) H.J.Lam,32,Tree,Sapotaceae,N,LC,Non Endemic
Maesa indica (Roxb.) A.DC.,18,Shrub,Primulaceae,N,LC,Non Endemic
Magnolia × alba (DC.),47,Tree,Magnoliaceae,E,NE,Non Endemic
Magnolia champaca (L.) Baill. ex Pierre,2846,Tree,Magnoliaceae,N,LC,Non Endemic
Majidea zanguebarica J.Kirk ex Oliv.,9,Tree,Sapindaceae,E,NE,Non Endemic
Mallotus nudiflorus (L.) Kulju & Welzen,48,Tree,Euphorbiaceae,N,LC,Non Endemic
Mallotus philippensis (Lam.) Müll.Arg.,6,Tree,Euphorbiaceae,N,LC,Non Endemic
Mallotus tetracoccus (Roxb.) Kurz,1,Tree,Euphorbiaceae,N,NE,Non Endemic
Malpighia glabra L.,105,Shrub,Malpighiaceae,E,LC,Non Endemic
Mammea suriga (Buch.-Ham. ex Roxb.) Kosterm.,230,Tree,Clusiaceae,N,NE,Endemic
Mangifera indica L.,16164,Tree,Anacardiaceae,N,DD,Non Endemic
Manilkara zapota (L.) P.Royen,5309,Tree,Sapotaceae,E,NE,Non Endemic
Margaritaria indica (Dalzell) Airy Shaw,2,Tree,Phyllanthaceae,N,NE,Non Endemic
Markhamia lutea (Benth.) K. Schum.,18,Tree,Bignoniaceae,E,LC,Non Endemic
Melia azedarach L.,107,Tree,Meliaceae,N,LC,Non Endemic
Melia dubia Cav.,1268,Tree,Meliaceae,N,NE,Non Endemic
Melicope lunu-ankenda (Gaertn.) T.G.Hartley,89,Tree,Rutaceae,N,LC,Non Endemic
Memecylon angustifolium Wight,10,Shrub,Melastomataceae,N,NE,Non Endemic
Memecylon edule Roxb.,116381,Tree,Melastomataceae,N,NE,Non Endemic
Memecylon randerianum S.M.Almeida & M.R.Almeida,9,Shrub,Melastomataceae,N,NE,Endemic
Memecylon talbotianum Brandis,10,Tree,Melastomataceae,N,NE,Endemic
Mesua ferrea L.,294,Tree,Calophyllaceae,N,NE,Non Endemic
Millingtonia hortensis L.f.,1022,Tree,Bignoniaceae,E,NE,Non Endemic
